theme,title,url,keywords,original_keywords,original_theme,publish_date
"Seguridad, privacidad, datos personales, regulación",Sanchez in India: From Airbus Launch to Bollywood Glitz,https://efe.com/en/latest-news/2024-10-25/sanchezs-india-trip/,collaboration,collaboration,Adaptive and multi-stakeholder governance and collaboration,2022-01-19
"Seguridad, privacidad, datos personales, regulación","Escaping Bombs, Facing Winter: Lebanon's Displaced in Crisis",https://efe.com/en/other-news/2024-10-25/lebanon-crisis/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2022-01-22
"Seguridad, privacidad, datos personales, regulación","This App Set Out to Fight Pesticides. After VCs Stepped In, Now It Helps Sell Them",https://www.wired.com/story/plantix-pesticides-venture-capital-app/,collaboration,collaboration,Adaptive and multi-stakeholder governance and collaboration,2020-01-26
"Seguridad, privacidad, datos personales, regulación",The American Who Waged a Tech War on China,https://www.wired.com/story/jake-sullivan-china-tech-profile/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2021-07-16
"Seguridad, privacidad, datos personales, regulación",A High-Profile Geneticist Is Launching a Fusion-Power Moonshot,https://www.wired.com/story/plaintext-pacific-fusion-eric-lander/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2021-04-17
"Seguridad, privacidad, datos personales, regulación",Apple’s Sales in China Are Stalling. What Will It Sacrifice to Turn Things Around?,https://www.wired.com/story/apples-sales-in-china-are-stalling-what-will-it-sacrifice-to-turn-things-around/,regulation,regulation,Adaptive and multi-stakeholder governance and collaboration,2021-04-04
"Seguridad, privacidad, datos personales, regulación",San Francisco Will Pay $212 Million for Its Train System to Ditch Floppy Disks,https://www.wired.com/story/san-francisco-floppy-disks-muni-upgrade/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2018-09-06
"Seguridad, privacidad, datos personales, regulación",Influencers Get Their Final Marching Orders for the Election,https://www.wired.com/story/influencers-gop-and-democrats-ahead-of-election-day/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2023-12-16
"Seguridad, privacidad, datos personales, regulación","Judges and Border Police Targeted by Anti-Government Extremists, Doxed as ‘Traitors’",https://www.wired.com/story/judges-border-police-targeted-extremism/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2024-12-20
"Seguridad, privacidad, datos personales, regulación",Chinese Hackers Target Trump Campaign via Verizon Breach,https://www.wired.com/story/trump-vance-phones-verizon-hack/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2024-06-21
"Seguridad, privacidad, datos personales, regulación",The 16 Best Electric Bikes for Every Kind of Ride,https://www.wired.com/gallery/best-electric-bikes/,collaboration,collaboration,Adaptive and multi-stakeholder governance and collaboration,2018-07-27
"Seguridad, privacidad, datos personales, regulación",The Best iPhone 16 Cases and Accessories,https://www.wired.com/gallery/best-iphone-16-cases-and-accessories/,collaboration,collaboration,Adaptive and multi-stakeholder governance and collaboration,2020-05-31
"Seguridad, privacidad, datos personales, regulación",Chinese Hackers Target Trump Campaign via Verizon Breach,https://www.wired.com/story/trump-vance-phones-verizon-hack/#intcid=_wired-verso-hp-trending_797280c9-9710-4a06-9a55-e863ad1af6f2_popular4-1,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2016-05-27
"Seguridad, privacidad, datos personales, regulación",16 Best Mattresses You Can Buy Online (2024),https://www.wired.com/gallery/best-mattresses/,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2023-01-26
"Seguridad, privacidad, datos personales, regulación",AI art: The end of creativity or the start of a new movement?,https://www.bbc.com/future/article/20241018-ai-art-the-end-of-creativity-or-a-new-movement,collaboration,collaboration,Adaptive and multi-stakeholder governance and collaboration,2017-11-01
"Seguridad, privacidad, datos personales, regulación",Live updates: Israel strikes Iran as war rages in Gaza and Lebanon,https://www.cnn.com/world/live-news/israel-iran-strikes-lebanon-gaza-war-10-27-24/index.html,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2021-05-02
"Seguridad, privacidad, datos personales, regulación",Vance insists Trump’s ‘enemy from within’ comments weren’t directed at political rivals,http://www.cnn.com/2024/10/27/politics/jd-vance-state-of-the-union/index.html,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2024-05-26
"Seguridad, privacidad, datos personales, regulación","More than 1,000 faith leaders endorse Harris as vice president leans on her faith to turn out Black voters",http://www.cnn.com/2024/10/27/politics/faith-leaders-harris-endorsement/index.html,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2023-01-21
"Seguridad, privacidad, datos personales, regulación",Wisconsin’s critical Senate race devolves into bitter feud as GOP targets partner of gay senator,http://www.cnn.com/2024/10/27/politics/wisconsin-senate-race-baldwin-hovde/index.html,regulation,regulation,Adaptive and multi-stakeholder governance and collaboration,2021-11-24
"Seguridad, privacidad, datos personales, regulación",Live updates: Israel strikes Iran as war rages in Gaza and Lebanon,http://www.cnn.com/world/live-news/israel-iran-strikes-lebanon-gaza-war-10-27-24/index.html,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2021-09-18
"Seguridad, privacidad, datos personales, regulación",Dock tragedy is latest chapter in Gullah Geechee community’s long struggle,http://www.cnn.com/2024/10/27/us/georgia-dock-collapse-gullah-geechee-community/index.html,policy,policy,Adaptive and multi-stakeholder governance and collaboration,2022-01-23
