,theme,title,url,keywords,original_keywords,original_theme,publish_date
0,"Seguridad, privacidad, datos personales, regulación","Iran lifts 2-year ban on WhatsApp, Google Play, but social media censorship remains",https://efe.com/en/cultura/2024-12-26/iran-lifts-2-year-ban-on-whatsapp-google-play-but-social-media-censorship-remains-by/,"security, policy","security, policy","Seguridad, privacidad, datos personales, regulación",2024-12-26
1,"Seguridad, privacidad, datos personales, regulación","Hey, Maybe It's Time to Delete Some Old Chat Histories",http://www.wired.com/story/old-chat-history-delete/,"privacy, security, policy","privacy, security, policy","Seguridad, privacidad, datos personales, regulación",2025-01-01
2,"Seguridad, privacidad, datos personales, regulación",How Google Maps Makes It Harder for Palestinians to Navigate the West Bank,http://www.wired.com/story/google-maps-west-bank/,"privacy, safety","privacy, safety","Seguridad, privacidad, datos personales, regulación",2024-12-23
3,"Seguridad, privacidad, datos personales, regulación",The Most Dangerous People on the Internet in 2024,http://www.wired.com/story/the-most-dangerous-people-on-the-internet-in-2024/,"cybersecurity, privacy, safety, security, policy, regulation","privacy, safety, regulation, security, cybersecurity, policy","Seguridad, privacidad, datos personales, regulación",2024-12-30
4,"Seguridad, privacidad, datos personales, regulación",Tim Cook Wants Apple to Literally Save Your Life,http://www.wired.com/story/big-interview-tim-cook-wants-apple-to-literally-save-your-life/,privacy,privacy,"Seguridad, privacidad, datos personales, regulación",2024-12-04
5,"Seguridad, privacidad, datos personales, regulación",14 Best Planners: Weekly and Daily Notebooks & Accessories (2024),https://www.wired.com/story/best-paper-planners/#intcid=_wired-verso-hp-trending_14e2302a-a043-430a-be10-a42f074bd19f_popular4-1,collaboration,collaboration,"Seguridad, privacidad, datos personales, regulación",2024-01-03
6,"Seguridad, privacidad, datos personales, regulación","Hey, Maybe It's Time to Delete Some Old Chat Histories",http://wired.com/story/old-chat-history-delete/,"privacy, security, policy","privacy, security, policy","Seguridad, privacidad, datos personales, regulación",2025-01-01
7,"Seguridad, privacidad, datos personales, regulación",How Google Maps Makes It Harder for Palestinians to Navigate the West Bank,http://wired.com/story/google-maps-west-bank/,"privacy, safety","privacy, safety","Seguridad, privacidad, datos personales, regulación",2024-12-23
8,"Seguridad, privacidad, datos personales, regulación",The Most Dangerous People on the Internet in 2024,http://wired.com/story/the-most-dangerous-people-on-the-internet-in-2024/,"cybersecurity, privacy, safety, security, policy, regulation","privacy, safety, regulation, security, cybersecurity, policy","Seguridad, privacidad, datos personales, regulación",2024-12-30
9,"Seguridad, privacidad, datos personales, regulación",Tim Cook Wants Apple to Literally Save Your Life,http://wired.com/story/big-interview-tim-cook-wants-apple-to-literally-save-your-life/,privacy,privacy,"Seguridad, privacidad, datos personales, regulación",2024-12-04
